Time,Time Code,Country Name,Region,Country Code,"Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]","Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]","Employment in industry, male (% of male employment) (modeled ILO estimate) [SL.IND.EMPL.MA.ZS]","Employment in industry, female (% of female employment) (modeled ILO estimate) [SL.IND.EMPL.FE.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Labor force participation rate for ages 15-24, total (%) (national estimate) [SL.TLF.ACTI.1524.NE.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Population ages 65 and above, total [SP.POP.65UP.TO]",Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female (% of female population) [SP.POP.65UP.FE.ZS]","Population ages 65 and above, male (% of male population) [SP.POP.65UP.MA.ZS]",Population growth (annual %) [SP.POP.GROW],"Pupil-teacher ratio, tertiary [SE.TER.ENRL.TC.ZS]","Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]","Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, secondary, female (% gross) [SE.SEC.ENRR.FE]","School enrollment, secondary, male (% gross) [SE.SEC.ENRR.MA]",Start-up procedures to register a business (number) [IC.REG.PROC],"Unemployment, male (% of male labor force) (national estimate) [SL.UEM.TOTL.MA.NE.ZS]","Unemployment, female (% of female labor force) (national estimate) [SL.UEM.TOTL.FE.NE.ZS]",Urban population growth (annual %) [SP.URB.GROW],Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
2018,YR2018,Croatia,Europe,HRV,3.303999901,6.144999981,37.16600037,13.32199955,60805659436,14869.09068,3.51149294,33.4939003,..,..,..,..,836096,20.44543301,23.72204792,16.91899015,-0.855405633,..,..,..,..,..,..,8,7.64470005,9.34070015,-0.362492009,56.947
2018,YR2018,Cuba,Americas,CUB,0.720000029,1.703999996,20.61199951,10.47799969,..,..,..,..,..,..,..,..,1721834,15.18621142,16.36696636,13.9898113,-0.009886496,..,9.63133,9.16029,101.1372,101.9492,100.3693,..,..,..,0.068028842,77.037
2018,YR2018,Curacao,Americas,CUW,..,..,..,..,..,..,..,29.84000015,..,..,..,..,26671,16.68489481,17.99141319,15.14904097,-0.20373479,..,..,..,..,..,..,..,11.30000019,15.38000011,-0.269116913,89.145
2018,YR2018,Cyprus,Europe,CYP,0.788999975,3.252000093,25.73500061,6.852000237,24469841832,28159.3017,2.745155679,39.20280075,..,..,..,..,163156,13.71906177,14.9528763,12.48657507,0.809225398,..,..,..,..,..,..,5,8.029000282,8.742199898,0.770313835,66.81
2018,YR2018,Czech Republic,Europe,CZE,1.582999945,4.369999886,48.92300034,23.97999954,2.45E+11,23078.57349,2.65491944,30.40640068,..,..,..,..,2063603,19.42087689,22.14659644,16.60601784,0.294597801,..,..,..,..,..,..,8,1.791900039,2.804199934,0.453281778,73.792
2018,YR2018,Denmark,Europe,DNK,1.503999949,4.552000046,27.43899918,8.819000244,3.52E+11,60726.46654,0.9213117,63.18389893,..,..,..,..,1148645,19.81295264,21.23020031,18.38004009,0.561579124,..,..,..,..,..,..,5,4.81799984,5.149400234,0.694828809,87.874
2018,YR2018,Djibouti,Eastern Mediterranean,DJI,1.519999981,2.821000099,10.78199959,4.554999828,1965982322,2050.204732,4.317508206,..,..,..,..,..,43416,4.527579378,4.953865054,4.144739971,1.557873607,..,25.41709,29.37453,51.45778,51.53135,51.39744,5,..,..,1.723901989,77.777
2018,YR2018,Dominica,Americas,DMA,..,..,..,..,503646211.1,7031.709754,0.298339687,..,..,..,..,..,..,..,..,..,0.233431052,..,..,..,..,..,..,5,..,..,0.661813154,70.483
2018,YR2018,Dominican Republic,Americas,DOM,1.975000024,4.399000168,25.75600052,9.512000084,81298585403,7650.072753,5.803116129,..,..,..,..,..,752703,7.082817476,7.524496641,6.641105493,1.078841148,..,..,..,..,..,..,7,..,..,2.066762457,81.074
2018,YR2018,Ecuador,Americas,ECU,1.631000042,3.944000006,23.73500061,11.03800011,1.08E+11,6344.871979,-0.397089903,43.9966011,..,..,..,..,1222777,7.157289727,7.695274811,6.619923863,1.765611201,..,..,..,..,..,..,11,2.915100098,4.379899979,2.002489629,63.821
2018,YR2018,"Egypt, Arab Rep.",Eastern Mediterranean,EGY,2.086999893,12.64299965,31.70199966,6.808000088,2.51E+11,2549.139458,3.194431298,..,..,..,..,..,5147337,5.229779346,5.843597289,4.628884361,2.033262176,..,15.16281,23.67945,87.91114,87.30088,88.4872,6,..,..,2.030921309,42.704
2018,YR2018,El Salvador,Americas,SLV,2.911000013,4.633999825,24.48399925,17.85300064,26056950000,4058.244652,2.016666951,46.3280983,..,..,..,..,532093,8.287090005,9.041929301,7.432398317,0.509367036,..,..,..,..,..,..,9,4.186699867,3.74819994,1.553344068,72.023
2018,YR2018,Equatorial Guinea,Africa,GNQ,1.034999967,2.26699996,19.85099983,10.74400043,13317453070,10173.96302,-6.43241382,..,..,..,..,..,32173,2.457877347,2.84304156,2.148533672,3.654506773,..,..,..,..,..,..,16,..,..,4.345814442,72.143
2018,YR2018,Eritrea,Africa,ERI,0.619000018,1.536000013,10.85099983,5.276000023,..,..,..,..,..,..,68.94619,84.37324,..,..,..,..,..,..,..,..,..,..,..,13,..,..,..,..
2018,YR2018,Estonia,Europe,EST,2.487999916,6.68599987,41.79999924,17.17300034,30284890757,22927.74442,3.590536274,47.32569885,..,..,..,..,259241,19.62635685,24.38081945,14.29377752,0.26532574,..,..,..,..,..,..,3,5.410600185,5.318600178,0.502234551,68.88
2018,YR2018,Eswatini,Africa,SWZ,1.552999973,2.622999907,24.87299919,23.76399994,4703787507,4139.961949,-0.3889351,..,..,..,88.54269,88.28758,45613,4.014587941,5.023813129,2.954518432,1.011798397,..,..,..,..,..,..,12,..,..,1.745532778,23.799
2018,YR2018,Ethiopia,Africa,ETH,0.172999993,0.853999972,12.87899971,10.98400021,84355462494,772.3122278,4.048070239,..,..,..,..,..,3824097,3.501132998,3.764257459,3.23818331,2.620013482,..,..,..,..,..,..,11,..,..,4.825930178,20.763
2018,YR2018,Faroe Islands,Europe,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.342876364,..,..,..,..,..,..,..,..,..,0.703448802,42.064
